Date,ADI,GILD,VIX,AvgVIX,zscore
2023-05-04,172.395751953125,70.92642211914062,20.09000015258789,17.709999990463256,-0.24609575460793975
2023-05-05,174.35427856445312,72.03746795654297,17.190000534057617,17.649500036239623,-0.07816479148151817
2023-05-08,175.4285888671875,70.98965454101562,16.979999542236328,17.550000047683717,0.1157507523295769
2023-05-09,170.77000427246094,71.1793441772461,17.709999084472656,17.480499982833862,-0.45768141467112655
2023-05-10,172.49082946777344,70.55606079101562,16.940000534057617,17.37300000190735,-0.21188010330204662
2023-05-11,171.69223022460938,71.08901977539062,16.93000030517578,17.32950005531311,-0.340921550009922
2023-05-12,171.6732177734375,70.61026763916016,17.030000686645508,17.327500104904175,-0.31380590703251793
2023-05-15,175.28598022460938,70.79995727539062,17.1200008392334,17.33600010871887,0.11020608910956951
2023-05-16,173.7838592529297,70.74575805664062,17.989999771118164,17.39400010108948,-0.06760581751232496
2023-05-17,178.69908142089844,71.18838500976562,16.8700008392334,17.414500188827514,0.4979329690659571
2023-05-18,182.7872314453125,70.64640045166016,16.049999237060547,17.358500146865843,1.0242167229823125
2023-05-19,181.14247131347656,71.22450256347656,16.809999465942383,17.36050009727478,0.7903634750029628
2023-05-22,181.88406372070312,71.01676940917969,17.209999084472656,17.37650008201599,0.8925527678963787
2023-05-23,178.66107177734375,70.9806137084961,18.530000686645508,17.365000104904176,0.5061121655496136
2023-05-24,164.66632080078125,71.40516662597656,20.030000686645508,17.424500131607054,-1.2075980127884522
2023-05-25,163.89622497558594,70.14057159423828,19.139999389648438,17.530000066757204,-1.222783676076638
2023-05-26,167.83224487304688,69.63471984863281,17.950000762939453,17.638500118255614,-0.7170648729725428
2023-05-30,168.6879119873047,68.94821166992188,17.459999084472656,17.707500076293947,-0.5717095117545903
2023-05-31,168.9351348876953,69.49921417236328,17.940000534057617,17.71550006866455,-0.5757433209897914
2023-06-01,171.5211181640625,68.8398208618164,15.649999618530273,17.58100004196167,-0.22339421491515363
2023-06-02,171.75991821289062,70.35735321044922,14.600000381469727,17.306500053405763,-0.2878148732628324
2023-06-05,167.1554718017578,70.20378875732422,14.729999542236328,17.183500003814697,-0.8336333942135906
2023-06-06,170.01173400878906,68.83078002929688,13.960000038146973,17.03250002861023,-0.40485594012300746
2023-06-07,172.30442810058594,68.7223892211914,13.9399995803833,16.84400005340576,-0.12172115393809223
2023-06-08,173.5558624267578,70.81803894042969,13.649999618530273,16.679500007629393,-0.09954002735026259
