Date,MNST,V,VIX,AvgVIX,zscore
2017-12-14,31.565000534057617,106.61075592041016,10.489999771118164,10.506500005722046,2.3501392535577215
2017-12-15,32.005001068115234,107.46046447753906,9.420000076293945,10.389499998092651,2.524357013283896
2017-12-18,32.01499938964844,107.2055435180664,9.529999732971191,10.294499969482422,2.5378190976641246
2017-12-19,32.10499954223633,105.87431335449219,10.029999732971191,10.263499975204468,2.625610674785503
2017-12-20,32.0099983215332,105.8554458618164,9.720000267028809,10.263000011444092,2.582291111866443
2017-12-21,31.905000686645508,106.12925720214844,9.619999885559082,10.25,2.524201869731298
2017-12-22,31.885000228881836,106.39360809326172,9.899999618530273,10.261499977111816,2.505783287601076
2017-12-26,31.920000076293945,106.67683410644531,10.25,10.280499982833863,2.512168700163148
2017-12-27,32.1150016784668,107.6492919921875,10.470000267028809,10.302500009536743,2.5687295055378883
2017-12-28,31.459999084472656,107.9608383178711,10.180000305175781,10.276500034332276,2.254750682595419
2017-12-29,31.645000457763672,107.6492919921875,11.039999961853027,10.264500045776368,2.351179099774806
2018-01-02,31.354999542236328,108.11190795898438,9.770000457763672,10.181500053405761,2.2009141015792193
2018-01-03,31.559999465942383,109.18820190429688,9.149999618530273,10.055000019073486,2.2585044702973214
2018-01-04,31.68000030517578,109.59418487548828,9.220000267028809,9.949500036239623,2.299980389316498
2018-01-05,31.7450008392334,112.21886444091797,9.220000267028809,9.85950002670288,2.2391105347850497
2018-01-08,32.01499938964844,112.67203521728516,9.520000457763672,9.827500057220458,2.348380927981229
2018-01-09,32.7400016784668,112.45490264892578,10.079999923706055,9.852500057220459,2.691488794559465
2018-01-10,31.795000076293945,112.33216857910156,9.819999694824219,9.876500034332276,2.258327291068022
2018-01-11,31.979999542236328,113.14408111572266,9.880000114440918,9.874500036239624,2.3158219956512864
2018-01-12,31.885000228881836,113.38011932373047,10.15999984741211,9.87350001335144,2.263669703095286
2018-01-16,32.279998779296875,113.66336822509766,11.65999984741211,9.932000017166137,2.436687642698754
2018-01-17,33.53499984741211,115.16455078125,11.90999984741211,10.056500005722047,2.96556986892505
2018-01-18,33.23500061035156,116.23138427734375,12.220000267028809,10.191000032424927,2.78973811181484
2018-01-19,33.43000030517578,115.84432983398438,11.270000457763672,10.253000068664551,2.8934111630904895
2018-01-22,33.8849983215332,117.38325500488281,11.029999732971191,10.31850004196167,3.0506864265850893
2018-01-23,34.224998474121094,117.68537902832031,11.100000381469727,10.392500066757203,3.197593041052744
2018-01-24,34.13999938964844,117.59092712402344,11.470000267028809,10.47100009918213,3.1615225218699132
2018-01-25,33.900001525878906,118.2235107421875,11.579999923706055,10.537500095367431,3.028512403759459
2018-01-26,34.45500183105469,119.26204681396484,11.079999923706055,10.568000078201294,3.2494166272897904
2018-01-29,34.14500045776367,117.86473083496094,13.84000015258789,10.7510000705719,3.154348863955214
2018-01-30,33.95000076293945,116.64679718017578,14.789999961853027,10.9385000705719,3.106295765000865
2018-01-31,34.1150016784668,117.28881072998047,13.539999961853027,11.127000045776366,3.1604214535603057
2018-02-01,33.96500015258789,118.69556427001953,13.470000267028809,11.343000078201294,3.0422397009066757
2018-02-02,33.314998626708984,114.15431213378906,17.309999465942383,11.747500038146972,2.8987467109540948
2018-02-05,31.924999237060547,109.77355194091797,37.31999969482422,13.152500009536743,2.407167671368442
2018-02-06,32.10499954223633,113.26683044433594,29.979999542236328,14.175499963760377,2.3694271874768753
2018-02-07,32.275001525878906,112.9647216796875,27.729999542236328,15.05799994468689,2.4585857538220455
2018-02-08,30.9950008392334,107.49823760986328,33.459999084472656,16.23999991416931,2.0555471792852282
2018-02-09,31.44499969482422,109.82078552246094,29.059999465942383,17.198999881744385,2.183352469523743
2018-02-12,32.040000915527344,111.85064697265625,25.610000610351562,17.971499919891357,2.3884181780992852
2018-02-13,31.69499969482422,111.73735046386719,24.969999313354492,18.636999893188477,2.2326529987907944
2018-02-14,31.950000762939453,114.07878875732422,19.260000228881836,19.004499912261963,2.2695446374048904
2018-02-15,32.80500030517578,115.64877319335938,19.1299991607666,19.349999856948852,2.6108930665916072
