Date,INTC,XOM,VIX,AvgVIX,zscore
2020-06-02,55.37643814086914,36.53246307373047,26.84000015258789,29.992500019073486,0.6691122834501849
2020-06-03,55.20706558227539,38.02280044555664,25.65999984741211,29.594999980926513,0.7102531028996737
2020-06-04,56.134178161621094,37.91470718383789,25.809999465942383,29.179500007629393,0.8390088679638855
2020-06-05,57.35544967651367,40.98802947998047,24.520000457763672,28.8335000038147,1.1500142554678858
2020-06-08,56.758182525634766,42.269874572753906,25.809999465942383,28.725,1.1203686104258488
2020-06-09,56.19657897949219,41.32778549194336,27.56999969482422,28.725,0.998070587744749
2020-06-10,56.93647384643555,39.11159896850586,27.56999969482422,28.451499938964844,1.0071715988304277
2020-06-11,53.219146728515625,35.65989685058594,40.790000915527344,28.727000045776368,0.32008444003962083
2020-06-12,52.88931655883789,36.42435073852539,36.09000015258789,28.901000022888184,0.3062009254466573
2020-06-15,53.57573318481445,36.401187896728516,34.400001525878906,29.026500129699706,0.4040297618266963
2020-06-16,53.84315872192383,37.2197265625,33.66999816894531,29.245000076293945,0.4785321163828211
2020-06-17,53.923397064208984,36.00737380981445,33.470001220703125,29.392000102996825,0.4367787365399229
2020-06-18,53.55790710449219,36.231300354003906,32.939998626708984,29.639500045776366,0.3939926328101882
2020-06-19,53.147830963134766,35.50545120239258,35.119998931884766,29.91899995803833,0.3030235289279764
2020-06-22,53.56681823730469,35.845211029052734,31.770000457763672,30.09949998855591,0.3782992322300431
2020-06-23,53.41527557373047,36.061424255371094,31.3700008392334,30.267500019073488,0.36598341660591965
2020-06-24,52.675376892089844,34.36260986328125,33.84000015258789,30.57849998474121,0.18473623076170873
2020-06-25,52.15833282470703,34.879974365234375,32.220001220703125,30.760000038146973,0.13302829471448194
2020-06-26,51.25798034667969,33.683074951171875,34.72999954223633,31.121000003814697,-0.04925542559625952
2020-06-29,51.944393157958984,34.223609924316406,31.780000686645508,31.298500061035156,0.0733590913877021
2020-06-30,53.33503723144531,34.532493591308594,30.43000030517578,31.47800006866455,0.287200439390029
2020-07-01,52.4257698059082,33.752567291259766,28.6200008392334,31.626000118255615,0.12196755447275465
2020-07-02,52.71102523803711,34.03828048706055,27.68000030517578,31.719500160217287,0.17560875142244162
2020-07-06,53.07651901245117,34.277671813964844,27.940000534057617,31.890500164031984,0.23876785047376914
2020-07-07,51.98004913330078,33.3896484375,29.43000030517578,32.07150020599365,0.041823791714821854
2020-07-08,52.247474670410156,33.31241989135742,28.079999923706055,32.097000217437746,0.07693856750504259
2020-07-09,52.07810592651367,31.937917709350586,29.260000228881836,32.18150024414062,-0.00788927990586524
2020-07-10,53.067604064941406,32.93404769897461,27.290000915527344,31.506500244140625,0.17840386077641177
2020-07-13,52.220741271972656,32.9417724609375,32.189998626708984,31.31150016784668,0.05679117355916943
2020-07-14,52.57731628417969,34.03055953979492,29.520000457763672,31.067500114440918,0.15601451730190166
2020-07-15,52.621883392333984,34.46299743652344,27.760000228881836,30.772000217437743,0.18144702668009
2020-07-16,52.719947814941406,34.19270706176758,28.0,30.49850015640259,0.18368390199871887
2020-07-17,53.48658752441406,33.60585403442383,25.68000030517578,30.13550024032593,0.26827935715945506
2020-07-20,54.511749267578125,32.818214416503906,24.459999084472656,29.602500247955323,0.38127449741615943
2020-07-21,54.110595703125,34.478431701660156,24.84000015258789,29.256000232696532,0.39650747895997873
2020-07-22,54.42259979248047,33.675350189208984,24.31999969482422,28.903500175476076,0.40612546490163565
2020-07-23,53.84315872192383,33.74483871459961,26.079999923706055,28.515500164031984,0.3257386037475448
2020-07-24,45.09809494018555,33.53635787963867,25.84000015258789,28.19650011062622,-0.9427600739933313
2020-07-27,44.18882751464844,34.03055953979492,24.739999771118164,27.697000122070314,-1.0519685647120471
2020-07-28,43.89466094970703,33.629024505615234,25.440000534057617,27.380000114440918,-1.1119857840479723
2020-07-29,42.85166549682617,33.99967575073242,24.100000381469727,27.063500118255615,-1.2458843670584694
2020-07-30,42.780364990234375,32.33173751831055,24.760000228881836,26.870500087738037,-1.3294925231186296
2020-07-31,42.54857635498047,32.49390411376953,24.459999084472656,26.70950002670288,-1.3557406202607918
2020-08-03,43.05670166015625,32.62517547607422,24.280000686645508,26.526500034332276,-1.2767960074264781
2020-08-04,43.79660415649414,33.56724166870117,23.760000228881836,26.243000030517578,-1.128823077259036
2020-08-05,43.609397888183594,33.860679626464844,22.989999771118164,25.988500022888182,-1.142878993686202
2020-08-06,43.59144973754883,33.698524475097656,22.649999618530273,25.657999992370605,-1.1525937021773232
2020-08-07,43.106788635253906,33.5440788269043,22.209999084472656,25.403999900817873,-1.2291783472701308
2020-08-10,44.17482376098633,34.370330810546875,22.1299991607666,24.90099992752075,-1.0390451669945429
2020-08-11,43.250389099121094,34.72554016113281,24.030000686645508,24.626499938964844,-1.1565494129406286
2020-08-12,44.14789962768555,34.717655181884766,22.280000686645508,24.352499961853027,-1.027650250943574
2020-08-13,43.58246994018555,33.86723327636719,22.1299991607666,24.058999919891356,-1.1464685797796899
2020-08-14,43.87864303588867,34.016849517822266,22.049999237060547,23.877499866485596,-1.0972394748990342
2020-08-17,43.91454315185547,33.575889587402344,21.350000381469727,23.72199993133545,-1.1114590340218182
2020-08-18,43.663238525390625,33.4105339050293,21.510000228881836,23.555499935150145,-1.1549189370591086
2020-08-19,43.37604522705078,33.040443420410156,22.540000915527344,23.466499996185302,-1.2125493309494981
2020-08-20,44.129940032958984,32.5364875793457,22.719999313354492,23.298499965667723,-1.1261441501895753
2020-08-21,44.22866439819336,32.29238510131836,22.540000915527344,23.133500003814696,-1.1226607378090172
2020-08-24,44.10301971435547,33.24517822265625,22.3700008392334,23.01500005722046,-1.0988591296699968
2020-08-25,44.363285064697266,32.19002151489258,22.030000686645508,22.844500064849854,-1.107775714935172
2020-08-26,44.47099304199219,31.504959106445312,23.270000457763672,22.803000068664552,-1.1223879688331733
2020-08-27,44.33636474609375,31.292354583740234,24.469999313354492,22.788500022888183,-1.1511234823194596
2020-08-28,45.26079177856445,32.0404052734375,22.959999084472656,22.713500022888184,-0.9851091357517315
2020-08-31,45.72748947143555,31.4498291015625,26.40999984741211,22.819999980926514,-0.9438704957893189
2020-09-01,45.58388900756836,31.048254013061523,26.1200008392334,22.938000011444093,-0.9822072272747349
2020-09-02,46.894229888916016,30.859275817871094,26.56999969482422,23.117000007629393,-0.8018213006103938
2020-09-03,45.224891662597656,30.79627799987793,33.599998474121094,23.664499950408935,-1.0449841673790778
2020-09-04,44.9466552734375,30.77265739440918,30.75,24.091499996185302,-1.0860901736979036
2020-09-08,43.89659881591797,30.06396484375,31.459999084472656,24.557999992370604,-1.268465159113944
2020-09-09,44.5338134765625,29.882854461669922,28.809999465942383,24.79699993133545,-1.1846667202570522
2020-09-10,43.94146728515625,29.134811401367188,29.709999084472656,25.168499851226805,-1.302859479053988
2020-09-11,44.22866439819336,29.056060791015625,26.8700008392334,25.405499935150146,-1.2649644267458766
2020-09-14,44.345340728759766,28.8670711517334,25.850000381469727,25.595499992370605,-1.2564724900115631
2020-09-15,44.874874114990234,28.55997657775879,25.59000015258789,25.807499980926515,-1.1937202997063148
2020-09-16,45.206939697265625,29.77262306213379,26.040000915527344,26.03400001525879,-1.0925802387037729
2020-09-17,45.162071228027344,29.764751434326172,26.459999084472656,26.229999923706053,-1.0993876375438667
2020-09-18,44.776145935058594,29.284420013427734,25.829999923706055,26.385499954223633,-1.1760832971221773
2020-09-21,44.62356948852539,28.685977935791016,27.780000686645508,26.64749994277954,-1.224369007797719
2020-09-22,44.829986572265625,27.977279663085938,26.860000610351562,26.87199993133545,-1.2258059587270593
2020-09-23,43.81581497192383,27.079620361328125,28.579999923706055,27.199499893188477,-1.4113223651489901
2020-09-24,44.120967864990234,27.024497985839844,28.510000228881836,27.461499881744384,-1.369802641593842
2020-09-25,44.821014404296875,27.276473999023438,26.3799991607666,27.55699987411499,-1.2579129628054233
2020-09-28,46.15828323364258,27.804058074951172,26.190000534057617,27.71849994659424,-1.0421414823929898
2020-09-29,45.94288635253906,26.99300193786621,26.270000457763672,27.711499977111817,-1.108822445464763
2020-09-30,46.472408294677734,27.032371520996094,26.3700008392334,27.723999977111816,-1.030837605574423
2020-10-01,46.88526916503906,26.087461471557617,26.700000762939453,27.73050003051758,-1.0129320645580182
2020-10-02,45.78133773803711,25.969348907470703,27.6299991607666,27.432000064849852,-1.177097047103381
2020-10-05,46.39163589477539,26.567794799804688,27.959999084472656,27.292500019073486,-1.0628970216526474
2020-10-06,46.10443878173828,26.29219627380371,29.479999542236328,27.19350004196167,-1.1163730802010885
2020-10-07,47.271183013916016,26.378807067871094,28.059999465942383,27.15600004196167,-0.944547906205773
2020-10-08,47.89942932128906,27.764684677124023,26.360000610351562,26.988500118255615,-0.7931392769208219
2020-10-09,47.40580749511719,27.355222702026367,25.0,26.895000076293947,-0.8822275753269984
2020-10-12,48.35715866088867,27.268596649169922,25.06999969482422,26.85600004196167,-0.7490374064004207
2020-10-13,48.312294006347656,26.945758819580078,26.06999969482422,26.880000019073485,-0.769693563980615
2020-10-14,48.06098175048828,26.890636444091797,26.399999618530273,26.897999954223632,-0.808307521723854
2020-10-15,48.33023452758789,27.126859664916992,26.969999313354492,26.923499965667723,-0.7591468973075177
2020-10-16,48.60845184326172,26.851261138916016,27.40999984741211,27.002499961853026,-0.7312005348484664
2020-10-19,48.985408782958984,26.315814971923828,29.18000030517578,27.07249994277954,-0.700460889691414
2020-10-20,47.953285217285156,26.53629493713379,29.350000381469727,27.196999931335448,-0.8393970157962027
2020-10-21,48.01611328125,26.111080169677734,28.649999618530273,27.20049991607666,-0.849046492736256
