Date,SHEL,INTC,VIX,AvgVIX,zscore
2022-10-28,48.90095520019531,27.658004760742188,25.75,30.212000179290772,-0.370939586170529
2022-10-31,48.42222213745117,27.049091339111328,25.8799991607666,30.001000118255615,-0.4318694132706256
2022-11-01,48.605010986328125,26.925405502319336,25.809999465942383,29.838000106811524,-0.39709503361427057
2022-11-02,47.795494079589844,26.088150024414062,25.860000610351562,29.703500175476073,-0.5063420222552056
2022-11-03,48.509254455566406,26.059606552124023,25.299999237060547,29.442500114440918,-0.38523909653234345
2022-11-04,49.666934967041016,27.19263458251953,24.549999237060547,29.102000045776368,-0.2269276807520906
2022-11-07,49.49284744262695,27.395130157470703,24.350000381469727,28.69700002670288,-0.2627837707689758
2022-11-08,48.92706298828125,27.462631225585938,25.540000915527344,28.292500019073486,-0.36022997045809896
2022-11-09,46.64362716674805,26.536924362182617,26.09000015258789,27.91850004196167,-0.7147919681181314
2022-11-10,47.31987380981445,28.6969051361084,23.530000686645508,27.498000049591063,-0.6707296571409771
2022-11-11,48.979759216308594,29.342973709106445,22.520000457763672,27.023000049591065,-0.41212216409589786
2022-11-14,48.004913330078125,29.26582908630371,23.729999542236328,26.64099998474121,-0.5737703616459419
2022-11-15,49.427669525146484,29.61297035217285,24.540000915527344,26.34300003051758,-0.3454297576986105
2022-11-16,49.0236701965332,28.47512435913086,24.110000610351562,26.010500049591066,-0.3766832313510716
2022-11-17,49.78774642944336,28.822261810302734,23.93000030517578,25.708000087738036,-0.2592487705683955
2022-11-18,49.12906265258789,28.802976608276367,23.1200008392334,25.379500102996825,-0.3695324602068205
2022-11-21,48.03125,27.906200408935547,22.360000610351562,25.005000114440918,-0.5253982278533053
2022-11-22,49.901920318603516,28.754762649536133,21.290000915527344,24.646500205993654,-0.2378432661284014
2022-11-23,49.91069793701172,28.610122680664062,20.350000381469727,24.300000190734863,-0.23169114680861538
2022-11-25,49.901920318603516,28.291912078857422,20.5,23.955500221252443,-0.22288582264002732
2022-11-28,49.61210250854492,27.703702926635742,22.209999084472656,23.778500175476076,-0.25267582686351536
2022-11-29,50.60451889038086,27.867630004882812,21.889999389648438,23.579000186920165,-0.09087362486267903
2022-11-30,51.35102462768555,28.995832443237305,20.579999923706055,23.31750020980835,-0.0016384598233766165
2022-12-01,50.98216247558594,28.764404296875,19.84000015258789,23.016500186920165,-0.05626738605907631
2022-12-02,50.692344665527344,28.35940933227539,19.059999465942383,22.704500198364258,-0.09197812589623533
2022-12-05,50.41130447387695,28.12798500061035,20.75,22.514500236511232,-0.13182001577837235
2022-12-06,49.778961181640625,27.578344345092773,22.170000076293945,22.405500221252442,-0.22052965912107417
2022-12-07,49.489139556884766,27.317989349365234,22.68000030517578,22.262500190734862,-0.2609152153874466
2022-12-08,49.699920654296875,27.424062728881836,22.290000915527344,22.072500228881836,-0.22885247838992717
2022-12-09,48.8392448425293,27.231204986572266,22.829999923706055,22.037500190734864,-0.36753773521846783
2022-12-12,49.4979248046875,27.665130615234375,25.0,22.16150016784668,-0.2706541760623718
2022-12-13,50.393733978271484,27.703702926635742,22.549999237060547,22.10250015258789,-0.12106740848163754
2022-12-14,49.849220275878906,27.250492095947266,21.139999389648438,21.932500076293945,-0.1981048263960637
2022-12-15,49.313499450683594,26.180145263671875,22.829999923706055,21.86850004196167,-0.2537184102696641
2022-12-16,48.26838302612305,25.958358764648438,22.6200008392334,21.803000068664552,-0.42252428360064487
2022-12-19,48.76019287109375,25.8330020904541,22.420000076293945,21.768000030517577,-0.33566401687396397
2022-12-20,49.29593276977539,25.495502471923828,21.479999542236328,21.723999977111816,-0.23455136371126212
2022-12-21,50.586952209472656,25.871570587158203,20.06999969482422,21.66299991607666,-0.0293269393551577
