Date,KRE,XOM,VIX,AvgVIX,zscore
2018-06-11,52.27689743041992,58.42243957519531,12.350000381469727,13.337500095367432,1.3775095937106656
2018-06-12,51.979103088378906,57.94437789916992,12.34000015258789,13.308000087738037,1.3802093064876746
2018-06-13,51.77788162231445,57.30459213256836,12.9399995803833,13.223500061035157,1.4125719731598132
2018-06-14,51.56055450439453,57.571739196777344,12.119999885559082,13.158500051498413,1.3551507004111263
2018-06-15,51.392513275146484,56.70701599121094,11.979999542236328,13.086000013351441,1.4140340820262363
2018-06-18,51.416744232177734,56.81949996948242,12.3100004196167,13.030500030517578,1.406720091040565
2018-06-19,51.788394927978516,56.735145568847656,13.350000381469727,13.044000053405762,1.469004076725337
2018-06-20,51.88534927368164,56.55938720703125,12.789999961853027,13.022500038146973,1.500075654773147
2018-06-21,51.78031921386719,56.02507781982422,14.640000343322754,13.125500059127807,1.5362849342293048
2018-06-22,51.27131652832031,57.21320343017578,13.770000457763672,13.187500095367431,1.347573643267644
2018-06-25,50.786563873291016,56.060218811035156,17.329999923706055,13.393000078201293,1.3881018065643642
2018-06-26,50.544185638427734,56.692962646484375,15.920000076293945,13.338000059127808,1.2917833267607952
2018-06-27,49.590816497802734,57.44520568847656,17.90999984741211,13.486500072479249,1.0803489671118547
2018-06-28,49.6392936706543,57.62799835205078,16.850000381469727,13.557500076293945,1.069789322377733
2018-06-29,49.2838020324707,58.16231155395508,16.09000015258789,13.68900008201599,0.966479329703671
2018-07-02,49.70392608642578,57.48037338256836,15.600000381469727,13.832000112533569,1.0934390950931019
2018-07-03,49.53426742553711,57.817813873291016,16.139999389648438,14.019000101089478,1.0361863789481496
2018-07-05,49.615055084228516,57.86701202392578,14.970000267028809,14.18550009727478,1.0432143636165938
2018-07-06,50.05134582519531,57.88108444213867,13.369999885559082,14.247500085830689,1.105427415987458
2018-07-09,51.093570709228516,58.281803131103516,12.6899995803833,14.273000049591065,1.218651632453241
2018-07-10,50.52802276611328,58.81613540649414,12.640000343322754,14.287500047683716,1.0847335326579153
2018-07-11,50.29371643066406,58.06386947631836,13.630000114440918,14.352000045776368,1.1231197626374427
2018-07-12,49.68777847290039,58.134185791015625,12.579999923706055,14.334000062942504,1.0280523453097197
