Date,BAC,WFC,VIX,AvgVIX,zscore
2022-10-17,30.721647262573242,39.95901870727539,31.3700008392334,30.77500009536743,0.34081022497150587
2022-10-18,31.873027801513672,40.60439682006836,30.5,30.942000102996825,0.6312716210356469
2022-10-19,30.99578285217285,39.649959564208984,30.760000228881836,31.08050012588501,0.5029178817794693
2022-10-20,30.79475212097168,39.6772346496582,29.979999542236328,31.21200008392334,0.42408870333183396
2022-10-21,31.936986923217773,40.74983596801758,29.690000534057617,31.200500106811525,0.6253926510623325
2022-10-24,32.04664611816406,41.08615493774414,29.850000381469727,31.08000020980835,0.5978444185040431
2022-10-25,32.33905029296875,41.240684509277344,28.459999084472656,30.87300024032593,0.6734922124047044
2022-10-26,32.6223258972168,41.54065704345703,27.280000686645508,30.728000259399415,0.7165927323202173
2022-10-27,32.77767562866211,41.49519729614258,27.389999389648438,30.50550022125244,0.782407192882106
2022-10-28,33.06095504760742,42.131492614746094,25.75,30.212000179290772,0.7579487081801183
2022-10-31,32.933021545410156,41.804256439208984,25.8799991607666,30.001000118255615,0.7770046380543664
2022-11-01,33.0792236328125,42.676883697509766,25.809999465942383,29.838000106811524,0.6550564158248138
2022-11-02,32.97870635986328,42.613258361816406,25.860000610351562,29.703500175476073,0.6311616690934034
2022-11-03,32.79594421386719,41.66181945800781,25.299999237060547,29.442500114440918,0.7556018612034904
2022-11-04,33.61835861206055,42.759620666503906,24.549999237060547,29.102000045776368,0.8351506559172376
2022-11-07,33.81938934326172,43.061527252197266,24.350000381469727,28.69700002670288,0.847853942070697
2022-11-08,33.91077423095703,43.16215515136719,25.540000915527344,28.292500019073486,0.8609834902064888
2022-11-09,33.37164306640625,42.05520248413086,26.09000015258789,27.91850004196167,0.8866347124633395
2022-11-10,34.84284210205078,43.8665885925293,23.530000686645508,27.498000049591063,1.059561166296103
2022-11-11,35.09870529174805,43.50065231323242,22.520000457763672,27.023000049591065,1.2264272227711737
2022-11-14,34.504737854003906,42.87855529785156,23.729999542236328,26.64099998474121,1.1346726865011285
2022-11-15,34.44990539550781,42.73218536376953,24.540000915527344,26.34300003051758,1.1440686819793056
2022-11-16,34.13922882080078,42.274757385253906,24.110000610351562,26.010500049591066,1.1225999495807608
2022-11-17,33.96559524536133,42.07350540161133,23.93000030517578,25.708000087738036,1.0996736162206986
2022-11-18,33.9838752746582,42.540061950683594,23.1200008392334,25.379500102996825,1.0126217514333942
2022-11-21,34.09354019165039,42.85110855102539,22.360000610351562,25.005000114440918,0.9901523108910952
2022-11-22,34.258018493652344,43.09812545776367,21.290000915527344,24.646500205993654,1.0005449148761305
2022-11-23,34.36766815185547,43.299381256103516,20.350000381469727,24.300000190734863,1.0001246425338817
2022-11-25,34.44990539550781,43.40001678466797,20.5,23.955500221252443,1.009914953262529
2022-11-28,33.682334899902344,42.979183197021484,22.209999084472656,23.778500175476076,0.8143880716970278
2022-11-29,33.81024932861328,43.518943786621094,21.889999389648438,23.579000186920165,0.7526333568137632
2022-11-30,34.586978912353516,43.8665885925293,20.579999923706055,23.31750020980835,0.9662042542011752
2022-12-01,33.59431457519531,42.87855529785156,19.84000015258789,23.016500186920165,0.8024861531061755
2022-12-02,33.16232681274414,42.02775955200195,19.059999465942383,22.704500198364258,0.815774126995166
2022-12-05,31.682523727416992,39.94192123413086,20.75,22.514500236511232,0.6948401681384291
2022-12-06,30.33139419555664,39.70405960083008,22.170000076293945,22.405500221252442,0.24963451148761306
2022-12-07,30.092422485351562,38.834964752197266,22.68000030517578,22.262500190734862,0.3370242523894312
2022-12-08,29.816675186157227,38.95389175415039,22.290000915527344,22.072500228881836,0.2125222045617768
2022-12-09,29.76152992248535,38.88070297241211,22.829999923706055,22.037500190734864,0.20710346387683262
2022-12-12,30.083227157592773,39.21005630493164,25.0,22.16150016784668,0.2583208968737294
2022-12-13,30.101608276367188,38.99048614501953,22.549999237060547,22.10250015258789,0.30913479606537786
2022-12-14,29.669614791870117,38.587955474853516,21.139999389648438,21.932500076293945,0.23237335961429925
2022-12-15,29.20085906982422,37.84693908691406,22.829999923706055,21.86850004196167,0.21019335547265683
2022-12-16,29.136520385742188,37.6822624206543,22.6200008392334,21.803000068664552,0.21979825991774204
2022-12-19,29.467409133911133,38.25861740112305,22.420000076293945,21.768000030517577,0.2247518045958734
2022-12-20,29.58689308166504,37.490150451660156,21.479999542236328,21.723999977111816,0.42271732047107813
2022-12-21,30.037269592285156,37.61823272705078,20.06999969482422,21.66299991607666,0.5613172715620212
2022-12-22,29.770721435546875,37.215694427490234,21.969999313354492,21.743999862670897,0.544923475613363
2022-12-23,29.844255447387695,37.490150451660156,20.8700008392334,21.76249990463257,0.5166212375673226
2022-12-27,29.89940071105957,37.545040130615234,21.649999618530273,21.73449993133545,0.5257158952482595
2022-12-28,30.119997024536133,37.61823272705078,22.139999389648438,21.74699993133545,0.5915020653560463
2022-12-29,30.460071563720703,37.81034469604492,21.440000534057617,21.789999961853027,0.6769938275197813
2022-12-30,30.44169044494629,37.77375411987305,21.670000076293945,21.88149995803833,0.6776374022072004
2023-01-03,30.800153732299805,38.231163024902344,22.899999618530273,22.073499965667725,0.7165459244813658
2023-01-04,31.37920570373535,39.0179328918457,22.010000228881836,22.136499977111818,0.7697788266538389
2023-01-05,31.31486701965332,38.807518005371094,22.459999084472656,22.15099992752075,0.7885716078514661
2023-01-06,31.627370834350586,39.155155181884766,21.1299991607666,22.073499870300292,0.8327617817722898
2023-01-09,31.1494140625,38.78008270263672,21.969999313354492,22.05749979019165,0.7337139096601082
2023-01-10,31.360824584960938,38.75262451171875,20.579999923706055,21.944999790191652,0.8163671491687982
2023-01-11,31.599796295166016,39.10026931762695,21.09000015258789,21.749499797821045,0.833726099900744
2023-01-12,31.682523727416992,39.18259811401367,18.829999923706055,21.56349983215332,0.8473727155401927
2023-01-13,32.38105392456055,40.45423126220703,18.350000381469727,21.423999881744386,0.8468005327985191
2023-01-17,31.728479385375977,40.36274719238281,19.360000610351562,21.25049991607666,0.6270726660494721
2023-01-18,30.993175506591797,39.685760498046875,20.34000015258789,21.136499881744385,0.49477486013348276
2023-01-19,30.542797088623047,39.292388916015625,20.520000457763672,21.041499900817872,0.4094654308621226
2023-01-20,31.112653732299805,40.179779052734375,19.850000381469727,20.95999994277954,0.4391306672788778
2023-01-23,31.544649124145508,41.19525146484375,19.809999465942383,20.946999931335448,0.39276528934632177
2023-01-24,31.774433135986328,40.66464614868164,19.200000762939453,20.808500003814697,0.5831944801719597
2023-01-25,32.050167083740234,41.478843688964844,19.079999923706055,20.71899995803833,0.5202459436873496
2023-01-26,32.4821662902832,41.90882873535156,18.729999542236328,20.572999954223633,0.5914944430073258
2023-01-27,32.58327102661133,42.19243240356445,18.510000228881836,20.391499996185303,0.5714143717151421
2023-01-30,32.44540023803711,42.34794998168945,19.940000534057617,20.316499996185303,0.4898690842286749
2023-01-31,32.610843658447266,42.87855529785156,19.399999618530273,20.202999973297118,0.4436466966318049
2023-02-01,33.0152587890625,43.299381256103516,17.8700008392334,19.951500034332277,0.5066704565370361
2023-02-02,33.20828628540039,43.4835205078125,18.729999542236328,19.7875,0.5401106574171125
2023-02-03,33.4840202331543,43.805755615234375,18.329999923706055,19.58100004196167,0.5759873524080384
2023-02-06,33.42887496948242,43.897823333740234,19.43000030517578,19.49600009918213,0.5373719471028355
2023-02-07,33.7965202331543,44.31212615966797,18.65999984741211,19.33050012588501,0.5882898342459477
2023-02-08,33.548362731933594,44.422611236572266,19.6299991607666,19.28300008773804,0.47555029865391835
2023-02-09,32.83143997192383,43.79655456542969,20.709999084472656,19.264000034332277,0.33972841523876746
2023-02-10,32.7027587890625,43.74130630493164,20.530000686645508,19.34900007247925,0.3038747068163404
2023-02-13,32.76710891723633,44.31212615966797,20.34000015258789,19.448500061035155,0.21268808456329336
2023-02-14,32.73952102661133,44.65277862548828,18.90999984741211,19.426000022888182,0.13419193775830532
2023-02-15,32.68437194824219,44.164817810058594,18.229999542236328,19.320499992370607,0.21209105785567162
2023-02-16,32.427024841308594,43.47430419921875,20.170000076293945,19.30299997329712,0.2569028268796209
2023-02-17,32.49135971069336,43.722896575927734,20.020000457763672,19.311499977111815,0.2304395737000469
2023-02-21,31.728479385375977,42.57204818725586,22.8700008392334,19.46450004577637,0.18326909969259805
2023-02-22,31.517074584960938,42.36029052734375,22.290000915527344,19.619000053405763,0.14867153958852297
2023-02-23,31.489501953125,42.58125686645508,21.139999389648438,19.72200002670288,0.09422346511109017
2023-02-24,31.443546295166016,42.92190170288086,21.670000076293945,19.869000053405763,0.009026995727250638
2023-02-27,31.443546295166016,43.069210052490234,20.950000762939453,19.99100008010864,-0.02056425103473375
2023-02-28,31.52625846862793,43.06001281738281,20.700000762939453,20.029000091552735,0.011462512463548442
2023-03-01,31.37920570373535,42.97714614868164,20.579999923706055,20.088000106811524,-0.025546467377528907
2023-03-02,30.98141860961914,42.16695022583008,19.59000015258789,20.17400007247925,-0.007935358341295348
2023-03-03,31.601232528686523,43.1336669921875,18.489999771118164,20.16200008392334,0.024022706629315105
2023-03-06,31.536470413208008,42.93111801147461,18.610000610351562,20.176000118255615,0.04108088999230585
2023-03-07,30.528118133544922,40.92403793334961,19.59000015258789,20.184000110626222,0.07634446335439334
2023-03-08,30.121076583862305,40.3624267578125,19.110000610351562,20.206500148773195,0.04064328314859133
2023-03-09,28.25238609313965,37.86739730834961,22.610000610351562,20.35550022125244,-0.13998602750689854
