Date,MNST,UPS,VIX,AvgVIX,zscore
2018-05-08,26.540000915527344,81.5179214477539,14.710000038146973,16.387999963760375,-0.28568265833548523
2018-05-09,24.55500030517578,81.61317443847656,13.420000076293945,16.046999979019166,-1.0866632768709248
2018-05-10,25.030000686645508,83.51063537597656,13.229999542236328,15.783999967575074,-1.1160797173497807
2018-05-11,24.635000228881836,84.58026123046875,12.649999618530273,15.54599995613098,-1.3964371310859984
2018-05-14,24.46500015258789,85.23226928710938,12.930000305175781,15.36449999809265,-1.5391641730870695
2018-05-15,24.100000381469727,84.69747161865234,14.630000114440918,15.333500003814697,-1.6228575470248423
2018-05-16,24.045000076293945,85.21762084960938,13.420000076293945,15.224499988555909,-1.7046341759295685
2018-05-17,24.28499984741211,85.4154281616211,13.430000305175781,15.098000001907348,-1.6318906483858573
2018-05-18,24.735000610351562,85.19390869140625,13.420000076293945,14.925000047683715,-1.4272896189529776
2018-05-21,24.954999923706055,86.44914245605469,13.079999923706055,14.762000036239623,-1.4842520541292399
2018-05-22,24.84000015258789,85.17913818359375,13.220000267028809,14.52200002670288,-1.3838000834187605
2018-05-23,25.0049991607666,85.12006378173828,12.579999923706055,14.259000015258788,-1.311330365890367
2018-05-24,24.809999465942383,85.37850189208984,12.529999732971191,14.07350001335144,-1.4186936880412815
2018-05-25,24.829999923706055,85.27513122558594,13.220000267028809,13.964000034332276,-1.3988321733065234
2018-05-29,24.645000457763672,84.04942321777344,17.020000457763672,14.01850004196167,-1.3313395141501314
2018-05-30,25.979999542236328,86.16120910644531,14.9399995803833,13.991000032424926,-1.0431597513212416
2018-05-31,25.579999923706055,85.74031066894531,15.430000305175781,13.964000034332276,-1.1538964702121497
2018-06-01,25.75,86.57469177246094,13.460000038146973,13.842000055313111,-1.1823036523955768
2018-06-04,25.895000457763672,86.367919921875,12.739999771118164,13.740500020980836,-1.100788164349119
2018-06-05,25.68000030517578,86.24979400634766,12.399999618530273,13.623000001907348,-1.1727561052335298
2018-06-06,26.600000381469727,86.40486145019531,11.640000343322754,13.469500017166137,-0.8244572885472116
2018-06-07,26.415000915527344,85.7919921875,12.130000114440918,13.405000019073487,-0.8275233269426813
2018-06-08,27.739999771118164,86.0947265625,12.180000305175781,13.352500057220459,-0.3350398765284472
2018-06-11,28.03499984741211,86.27933502197266,12.350000381469727,13.337500095367432,-0.2388870454320573
2018-06-12,28.09000015258789,87.3794937133789,12.34000015258789,13.308000087738037,-0.3436632700239809
2018-06-13,28.049999237060547,86.63372039794922,12.9399995803833,13.223500061035157,-0.27371928916116417
2018-06-14,28.024999618530273,86.53038787841797,12.119999885559082,13.158500051498413,-0.271771822731668
2018-06-15,28.21500015258789,86.22025299072266,11.979999542236328,13.086000013351441,-0.1604460579987916
2018-06-18,28.045000076293945,86.22025299072266,12.3100004196167,13.030500030517578,-0.22810467517126212
2018-06-19,27.940000534057617,84.78040313720703,13.350000381469727,13.044000053405762,-0.10411766170219215
2018-06-20,27.770000457763672,83.91651153564453,12.789999961853027,13.022500038146973,-0.07231281198732227
2018-06-21,27.985000610351562,83.74669647216797,14.640000343322754,13.125500059127807,0.0328069826468671
2018-06-22,28.43000030517578,83.95344543457031,13.770000457763672,13.187500095367431,0.18610928593465723
2018-06-25,28.315000534057617,81.36909484863281,17.329999923706055,13.393000078201293,0.4378874656191865
2018-06-26,28.1200008392334,80.90394592285156,15.920000076293945,13.338000059127808,0.41383375670948613
2018-06-27,27.96500015258789,80.02529907226562,17.90999984741211,13.486500072479249,0.45330707258182634
2018-06-28,28.389999389648438,78.17933654785156,16.850000381469727,13.557500076293945,0.8349866511350011
2018-06-29,28.649999618530273,78.43778228759766,16.09000015258789,13.68900008201599,0.9087086378489905
2018-07-02,28.790000915527344,78.17933654785156,15.600000381469727,13.832000112533569,0.9941839332647437
2018-07-03,28.84000015258789,78.09073638916016,16.139999389648438,14.019000101089478,1.0242841222088361
2018-07-05,28.81999969482422,78.4820556640625,14.970000267028809,14.18550009727478,0.9712698753200764
2018-07-06,29.219999313354492,78.29009246826172,13.369999885559082,14.247500085830689,1.1525679269755127
2018-07-09,29.360000610351562,80.18035125732422,12.6899995803833,14.273000049591065,0.9906538492739833
2018-07-10,29.78499984741211,80.12125396728516,12.640000343322754,14.287500047683716,1.1666041317558156
2018-07-11,30.1200008392334,79.2499771118164,13.630000114440918,14.352000045776368,1.400245503847562
2018-07-12,30.4950008392334,80.13602447509766,12.579999923706055,14.334000062942504,1.4474780337639324
2018-07-13,30.604999542236328,80.46092224121094,12.180000305175781,14.33700008392334,1.4538497593495197
2018-07-16,30.53499984741211,81.70138549804688,12.829999923706055,14.379500102996825,1.2831707202231504
2018-07-17,31.084999084472656,82.01150512695312,12.0600004196167,14.367000102996826,1.4663604696645005
2018-07-18,30.514999389648438,82.81632995605469,12.100000381469727,14.304500102996826,1.1468424680720641
