Date,KBE,INTC,VIX,AvgVIX,zscore
2018-04-13,38.31592559814453,43.83161544799805,17.40999984741211,20.452500200271608,0.19282008224094946
2018-04-16,38.461212158203125,44.28802490234375,16.559999465942383,20.49050016403198,0.1620461620426954
2018-04-17,38.05764389038086,45.25154113769531,15.25,20.3020001411438,-0.12609052971881973
2018-04-18,37.7912712097168,45.310699462890625,15.600000381469727,20.172000122070312,-0.21969079353064644
2018-04-19,38.493507385253906,44.135887145996094,15.960000038146973,20.077000093460082,0.19766793074761405
2018-04-20,38.77601623535156,43.55270004272461,16.8799991607666,19.75400004386902,0.38408374941642653
2018-04-23,39.090816497802734,43.189273834228516,16.34000015258789,19.32750000953674,0.5438478833770245
2018-04-24,39.284515380859375,43.48509216308594,18.020000457763672,19.17699999809265,0.5551752059095189
2018-04-25,39.19574737548828,43.425926208496094,17.84000015258789,18.944000005722046,0.5371912078731451
2018-04-26,39.066585540771484,44.83739471435547,16.239999771118164,18.612499952316284,0.2602662880993112
2018-04-27,39.33294677734375,44.56694412231445,15.40999984741211,18.384499979019164,0.3892426109334741
2018-04-30,38.711429595947266,43.62876892089844,15.930000305175781,17.999999952316283,0.3510532773326322
2018-05-01,39.058509826660156,45.07405090332031,15.489999771118164,17.719499921798707,0.21810219585383742
2018-05-02,38.93743896484375,44.21196746826172,15.970000267028809,17.51499996185303,0.32441244764086763
2018-05-03,38.558082580566406,44.186607360839844,15.899999618530273,17.36299991607666,0.20946471473134992
2018-05-04,39.050437927246094,44.86665344238281,14.770000457763672,17.026999950408936,0.2502934897141624
2018-05-07,39.26029968261719,45.33419418334961,14.75,16.675999927520753,0.23794528807455553
2018-05-08,39.60739517211914,45.58921813964844,14.710000038146973,16.387999963760375,0.30430074857344636
2018-05-09,40.00289535522461,46.1927604675293,13.420000076293945,16.046999979019166,0.3275076458553875
2018-05-10,40.091678619384766,46.736820220947266,13.229999542236328,15.783999967575074,0.26430380652699104
2018-05-11,40.140106201171875,46.47328186035156,12.649999618530273,15.54599995613098,0.3236477562232333
2018-05-14,40.0351676940918,46.6688117980957,12.930000305175781,15.36449999809265,0.2579356331640444
2018-05-15,40.23696517944336,45.835731506347656,14.630000114440918,15.333500003814697,0.46083501812951183
2018-05-16,40.40647506713867,46.44778823852539,13.420000076293945,15.224499988555909,0.41160986369450475
2018-05-17,40.503326416015625,46.59230041503906,13.430000305175781,15.098000001907348,0.4178429300174389
2018-05-18,40.16432189941406,45.47869873046875,13.420000076293945,14.925000047683715,0.49779348179355204
2018-05-21,40.54368209838867,46.17576217651367,13.079999923706055,14.762000036239623,0.5002696163338582
2018-05-22,40.75355529785156,46.28627014160156,13.220000267028809,14.52200002670288,0.5477080613738076
2018-05-23,40.503326416015625,46.93232727050781,12.579999923706055,14.259000015258788,0.3609074210302146
2018-05-24,40.32575225830078,46.541297912597656,12.529999732971191,14.07350001335144,0.37058903261167797
2018-05-25,40.123958587646484,47.12782669067383,13.220000267028809,13.964000034332276,0.20897445573297505
2018-05-29,39.10694122314453,47.025840759277344,17.020000457763672,14.01850004196167,-0.09349641385281812
2018-05-30,39.73652648925781,47.33185577392578,14.9399995803833,13.991000032424926,0.05307944695543696
2018-05-31,39.34103012084961,46.923824310302734,15.430000305175781,13.964000034332276,-0.002863402914165762
2018-06-01,39.84146499633789,48.52195358276367,13.460000038146973,13.842000055313111,-0.11322369510233896
2018-06-04,40.21274948120117,48.30943298339844,12.739999771118164,13.740500020980836,0.03901957296526119
2018-06-05,40.059391021728516,48.05440902709961,12.399999618530273,13.623000001907348,0.03353647048427177
2018-06-06,40.89077377319336,48.47944641113281,11.640000343322754,13.469500017166137,0.22358769210273174
2018-06-07,40.914981842041016,47.50187301635742,12.130000114440918,13.405000019073487,0.3948828398134543
2018-06-08,41.09255599975586,46.79631423950195,12.180000305175781,13.352500057220459,0.5688185002152927
2018-06-11,40.68091583251953,46.345767974853516,12.350000381469727,13.337500095367432,0.5149221083592367
2018-06-12,40.446834564208984,46.60080337524414,12.34000015258789,13.308000087738037,0.39866936579155
2018-06-13,40.2208366394043,46.77931213378906,12.9399995803833,13.223500061035157,0.2977703561617858
2018-06-14,40.043251037597656,47.21285629272461,12.119999885559082,13.158500051498413,0.16937835745750585
2018-06-15,39.913665771484375,46.84732437133789,11.979999542236328,13.086000013351441,0.18986872747921582
2018-06-18,39.96226501464844,45.24069595336914,12.3100004196167,13.030500030517578,0.47415919109717636
2018-06-19,40.180938720703125,44.994163513183594,13.350000381469727,13.044000053405762,0.5841470920619446
2018-06-20,40.278133392333984,45.444705963134766,12.789999961853027,13.022500038146973,0.5392450506322655
2018-06-21,40.148536682128906,44.3651123046875,14.640000343322754,13.125500059127807,0.6792972880309416
