Date,PEP,META,VIX,AvgVIX,zscore
2022-07-06,151.2734832763672,168.44810485839844,26.729999542236328,28.54000005722046,-0.5232513566648765
2022-07-07,150.97216796875,170.84927368164062,26.079999923706055,28.643000030517577,-0.5656400614676923
2022-07-08,152.31919860839844,169.5494842529297,24.639999389648438,28.677000045776367,-0.40213049435473003
2022-07-11,151.06968688964844,161.61175537109375,26.170000076293945,28.68100004196167,-0.528615706850238
2022-07-12,150.2100372314453,161.99871826171875,27.290000915527344,28.65800008773804,-0.6317453998971875
2022-07-13,150.7417755126953,162.21702575683594,26.81999969482422,28.298000049591064,-0.5692149991211137
2022-07-14,151.52162170410156,156.81936645507812,26.399999618530273,27.98350009918213,-0.4617573835044071
2022-07-15,151.6456756591797,163.41757202148438,24.229999542236328,27.714000034332276,-0.46520461860007306
2022-07-18,149.1111297607422,165.92787170410156,25.299999237060547,27.33149995803833,-0.7730390147612669
2022-07-19,150.706298828125,174.41128540039062,24.5,27.0,-0.6070180706248429
2022-07-20,149.1111297607422,181.6643829345703,23.8799991607666,26.68449993133545,-0.8163877360943876
2022-07-21,149.3326873779297,181.74378967285156,23.110000610351562,26.392499923706055,-0.7903015731304167
2022-07-22,150.30752563476562,167.95201110839844,23.030000686645508,26.091499996185302,-0.6365701722926308
2022-07-25,150.52020263671875,165.3523712158203,23.360000610351562,25.898000049591065,-0.6041585195949896
2022-07-26,152.27488708496094,157.91078186035156,24.690000534057617,25.785000038146972,-0.3753308190571934
2022-07-27,152.06216430664062,168.25958251953125,23.239999771118164,25.528999996185302,-0.42909420162898837
2022-07-28,154.94232177734375,159.4685821533203,22.329999923706055,25.2375,-0.0629251448891246
2022-07-29,155.0487060546875,157.86119079589844,21.329999923706055,24.86850004196167,-0.04586662930618614
2022-08-01,156.8121795654297,158.68470764160156,22.84000015258789,24.675500011444093,0.16123702277358984
2022-08-02,155.51837158203125,158.94268798828125,23.93000030517578,24.494999980926515,0.0069162579317622935
