Date,GOOGL,CVX,VIX,AvgVIX,zscore
2016-12-29,39.8149299621582,79.45242309570312,13.369999885559082,12.394000005722045,-1.7607497640351948
2016-12-30,39.297706604003906,79.37151336669922,14.039999961853027,12.392500019073486,-1.845585624269517
2017-01-03,40.069332122802734,79.47264862060547,12.850000381469727,12.32900004386902,-1.7160989962659101
2017-01-04,40.05742263793945,79.45242309570312,11.850000381469727,12.314500045776366,-1.7153096077777858
2017-01-05,40.317779541015625,79.10848999023438,11.670000076293945,12.308500051498413,-1.6151487389240777
2017-01-06,40.92228698730469,78.79154968261719,11.319999694824219,12.263500022888184,-1.454530180408913
2017-01-09,41.01996994018555,78.1172103881836,11.5600004196167,12.20950002670288,-1.3354997524314756
2017-01-10,40.96194839477539,77.52376556396484,11.489999771118164,12.196500015258788,-1.2577296201507788
2017-01-11,41.15287399291992,78.17787170410156,11.260000228881836,12.127500009536742,-1.3196561222642822
2017-01-12,41.136512756347656,78.33300018310547,11.539999961853027,12.068499994277953,-1.3458935076152154
2017-01-13,41.20643615722656,78.48136138916016,11.229999542236328,11.970499992370605,-1.354951383782081
2017-01-17,41.03385543823242,78.41393280029297,11.869999885559082,11.924499988555908,-1.377219109717693
2017-01-18,41.111209869384766,78.18466186523438,12.479999542236328,11.938499975204468,-1.3284777126616385
2017-01-19,40.88062286376953,77.94184875488281,12.779999732971191,11.991999959945678,-1.3354179774625439
2017-01-20,41.069061279296875,77.95535278320312,11.539999961853027,11.996499967575073,-1.302124019553489
2017-01-23,41.875404357910156,77.8137435913086,11.770000457763672,12.021499967575073,-1.1298730878813914
2017-01-24,42.12831497192383,78.4746322631836,11.069999694824219,12.003499937057494,-1.1811974620469654
2017-01-25,42.570655822753906,79.06131744384766,10.8100004196167,11.971999979019165,-1.1859411796884
2017-01-26,42.49776077270508,78.59600067138672,10.630000114440918,11.903999996185302,-1.1300966050510062
2017-01-27,41.905155181884766,76.7347640991211,10.579999923706055,11.785500001907348,-0.9631313347388615
2017-01-30,40.853843688964844,75.40631103515625,11.880000114440918,11.711000013351441,-0.9617036281921211
2017-01-31,40.673336029052734,75.08934783935547,11.989999771118164,11.608500003814697,-0.9481838632434395
2017-02-01,40.4278678894043,74.85331726074219,11.8100004196167,11.556500005722047,-0.9589257747721455
2017-02-02,40.57762145996094,75.66931915283203,11.930000305175781,11.560500001907348,-1.0527497258177028
2017-02-03,40.67036056518555,76.58641052246094,10.970000267028809,11.525500011444091,-1.1723571912282142
2017-02-06,40.74425506591797,76.18856048583984,11.369999885559082,11.528000020980835,-1.0990835375683055
2017-02-07,41.12162780761719,75.11632537841797,11.289999961853027,11.514499998092651,-0.8682091028855092
2017-02-08,41.153865814208984,75.24446868896484,11.449999809265137,11.5125,-0.881308819766592
2017-02-09,41.16278839111328,75.70301818847656,10.880000114440918,11.493499994277954,-0.9481302266939787
2017-02-10,41.400325775146484,76.23574829101562,10.850000381469727,11.45900001525879,-0.9831923522798138
2017-02-13,41.60414123535156,76.81571960449219,11.069999694824219,11.451000022888184,-1.0316299574080074
2017-02-14,41.65719985961914,76.6046371459961,10.739999771118164,11.394500017166138,-0.9901581036588284
2017-02-15,41.52281188964844,76.638671875,11.970000267028809,11.369000053405761,-1.0204245189401742
2017-02-16,41.76333236694336,75.35197448730469,11.760000228881836,11.318000078201294,-0.7831603612572721
2017-02-17,41.980533599853516,75.11370086669922,11.489999771118164,11.315500068664551,-0.706868658858533
2017-02-21,42.11541748046875,76.05998229980469,11.569999694824219,11.305500030517578,-0.8229388199654435
2017-02-22,42.219058990478516,75.1477279663086,11.739999771118164,11.339000034332276,-0.6672545399503719
2017-02-23,42.20120620727539,75.58342742919922,11.710000038146973,11.384000015258788,-0.7356802188080482
2017-02-24,42.04301452636719,74.97071838378906,11.470000267028809,11.426000022888184,-0.67380325215946
2017-02-27,42.135250091552734,76.08045196533203,12.09000015258789,11.501500034332276,-0.8222799788844719
2017-02-28,41.90019607543945,76.59103393554688,12.920000076293945,11.553500032424926,-0.9425916830796434
2017-03-01,42.48635482788086,77.53057098388672,12.539999961853027,11.58100004196167,-0.9730910559878915
2017-03-02,42.14418029785156,77.17654418945312,11.8100004196167,11.58100004196167,-0.9843295040623721
2017-03-03,42.10599136352539,77.3058853149414,10.960000038146973,11.53250002861023,-1.0108052839784236
2017-03-06,42.0162353515625,77.04717254638672,11.239999771118164,11.546000003814697,-0.9889806193884899
2017-03-07,42.20864486694336,76.12129211425781,11.449999809265137,11.55,-0.8146269769237622
2017-03-08,42.33212661743164,74.62349700927734,11.859999656677246,11.57849998474121,-0.5677628457350689
2017-03-09,42.540401458740234,74.91624450683594,12.300000190734863,11.621000003814697,-0.5724622901993244
2017-03-10,42.71744155883789,75.3042984008789,11.65999984741211,11.659999990463257,-0.5972506276763204
2017-03-13,42.8746452331543,74.44647979736328,11.350000381469727,11.684999990463258,-0.43966050150314256
2017-03-14,42.94059753417969,73.09165954589844,12.300000190734863,11.746500015258789,-0.22493279128288468
2017-03-15,43.06357955932617,74.12649536132812,11.630000114440918,11.791000032424927,-0.3564605533509868
2017-03-16,43.14341735839844,73.43208312988281,11.210000038146973,11.753000020980835,-0.23777580052118433
2017-03-17,43.26095199584961,73.3095474243164,11.279999732971191,11.728999996185303,-0.197448131380803
2017-03-20,43.03977966308594,73.29592895507812,11.34000015258789,11.721500015258789,-0.23685893029946548
2017-03-21,42.1585578918457,73.55464172363281,12.470000267028809,11.76650004386902,-0.4406329343862506
2017-03-22,42.14170455932617,73.79291534423828,12.8100004196167,11.820000076293946,-0.47938189504953915
2017-03-23,41.638362884521484,73.43888854980469,13.119999885559082,11.89050006866455,-0.520821091326247
2017-03-24,41.41470718383789,73.52059936523438,12.960000038146973,11.96500005722046,-0.5749365469846388
2017-03-27,41.58182907104492,72.35637664794922,12.5,11.985500049591064,-0.36972038714959865
2017-03-28,41.68695831298828,72.96231842041016,11.529999732971191,11.916000032424927,-0.4405297793600114
2017-03-29,42.14516830444336,73.5750503540039,11.420000076293945,11.860000038146973,-0.44619040943951654
2017-03-30,42.125823974609375,73.37761688232422,11.539999961853027,11.846500015258789,-0.4203247268482251
2017-03-31,42.042518615722656,73.09850311279297,12.369999885559082,11.917000007629394,-0.3942439980774041
2017-04-03,42.48635482788086,73.39125061035156,12.380000114440918,11.974000024795533,-0.3548021279014119
2017-04-04,42.2790641784668,73.97673034667969,11.789999961853027,11.991000032424926,-0.4810987721392838
2017-04-05,42.097564697265625,73.96310424804688,12.890000343322754,12.042500066757203,-0.5130742251735374
2017-04-06,41.908626556396484,74.40564727783203,12.390000343322754,12.047000074386597,-0.614581425149476
2017-04-07,41.759857177734375,74.11290740966797,12.869999885559082,12.107500076293945,-0.5987325256865389
