EntryDate,ExitDate,Side,EntryPrice,ExitPrice,PnL,TotalValue
2022-07-26,2022-08-26,SHORT,71.7639,72.3854,-89.1985,102920
2022-09-06,2022-11-21,LONG,71.0694,70.7561,-45.3668,102875
2022-11-29,2022-12-01,LONG,69.8823,71.5196,241.042,103116
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,287.226,103403
2023-01-12,2023-01-13,LONG,70.6826,71.6116,135.913,103539
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.45,103833
2023-04-24,2023-05-31,SHORT,72.5505,69.29,466.635,104299
2023-06-02,2023-06-07,SHORT,70.8457,70.0539,116.575,104416
2023-06-15,2023-07-12,SHORT,71.5444,70.0166,222.971,104639
2023-07-19,2023-08-21,SHORT,71.1904,69.1842,294.87,104934
2023-09-06,2023-10-18,LONG,67.7968,68.4999,108.824,105042
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.177,105255
